TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_DIF,PPFD_DIF_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_4,TS_F_MDS_5,TS_F_MDS_6,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,TS_F_MDS_4_QC,TS_F_MDS_5_QC,TS_F_MDS_6_QC,SWC_F_MDS_1,SWC_F_MDS_2,SWC_F_MDS_3,SWC_F_MDS_4,SWC_F_MDS_5,SWC_F_MDS_6,SWC_F_MDS_7,SWC_F_MDS_8,SWC_F_MDS_9,SWC_F_MDS_1_QC,SWC_F_MDS_2_QC,SWC_F_MDS_3_QC,SWC_F_MDS_4_QC,SWC_F_MDS_5_QC,SWC_F_MDS_6_QC,SWC_F_MDS_7_QC,SWC_F_MDS_8_QC,SWC_F_MDS_9_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_CORR_25,LE_CORR_75,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_CORR_25,H_CORR_75,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
20190801,20.004,1.0,449.395,337.569,1.0,307.016,1.0,15.0,1.0,85.825,1.0,0.0,1.0,3.492,1.0,0.6093508541666667,1.0,195.02265208333336,1.0,692.7751187499999,1.0,106.42185416666666,1.0,34.08127708333333,1.0,415.47979166666664,1.0,389.405,1.0,20.027,18.751,17.669,16.62,14.987,12.535,1.0,1.0,1.0,1.0,1.0,1.0,10.0,10.908,10.439,11.552,18.343,17.16,33.914,-9999,-9999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-9999,-9999,6.46693,1.0,87.4388,1.0,88.6785,80.7063,100.474,6.27585,99.9741,1.0,101.392,92.2765,114.878,7.43529,0.470545,0.979167,0.261973,0.380377,0.461511,0.473607,0.979167,0.958333,0.979167,8.67038,8.64161,8.67902,8.9677,8.17091,8.19677,8.30975,8.49219,7.82371,7.60308,7.76806,7.89601,8.01684,7.76028,7.93413,8.05646,-9999,-9999
20190802,18.032,1.0,447.553,324.83,1.0,302.575,1.0,10.714,1.0,86.076,1.0,0.0,1.0,4.038,1.0,0.7960408333333334,1.0,186.62529166666664,1.0,654.9598479166667,1.0,146.67016666666666,1.0,33.53780416666667,1.0,407.2429166666666,1.0,390.028,1.0,20.273,19.084,18.015,16.91,15.122,12.572,1.0,1.0,1.0,1.0,1.0,1.0,9.894,10.819,10.369,11.431,18.101,16.952,33.84,-9999,-9999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-9999,-9999,6.11445,1.0,93.0946,1.0,94.4146,85.9267,109.197,5.83284,108.53,1.0,110.069,100.174,127.302,7.7076,-0.450393,1.0,0.282641,-0.471012,-0.459809,-0.450393,1.0,1.0,1.0,8.24852,8.23576,8.24983,8.3387,8.68615,8.63701,8.69892,8.80001,7.86594,7.7393,7.86594,7.97595,8.21828,8.11553,8.19514,8.30219,-9999,-9999
20190803,19.361,1.0,445.675,270.965,1.0,325.96,1.0,11.412,1.0,85.98,1.0,0.0,1.0,2.019,1.0,0.3003561041666667,1.0,160.42554791666666,1.0,559.48450625,1.0,152.49569791666667,1.0,26.43217291666667,1.0,410.07020833333337,1.0,391.502,1.0,20.073,18.985,17.979,16.962,15.24,12.628,1.0,1.0,1.0,1.0,1.0,1.0,9.887,10.721,10.304,11.338,17.903,16.783,33.781,-9999,-9999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-9999,-9999,5.57692,1.0,72.8236,1.0,73.8561,67.2165,85.4193,5.43242,79.4947,1.0,80.6218,73.3739,93.2443,6.89072,0.821101,0.854167,0.247596,0.737676,0.821101,0.898302,0.833333,0.854167,0.854167,8.50831,8.495,8.51459,8.66267,7.70014,7.54657,7.69159,7.89357,8.45718,8.33635,8.45989,8.5316,7.76134,7.7266,7.76337,7.83384,-9999,-9999
20190804,21.787,1.0,443.76,285.966,1.0,326.345,1.0,18.426,1.0,85.833,1.0,0.0,1.0,2.439,1.0,0.3046401875,1.0,165.22546458333332,1.0,581.5776104166666,1.0,142.3841666666667,1.0,29.055389583333337,1.0,418.0395833333334,1.0,388.057,1.0,20.476,19.313,18.235,17.166,15.399,12.753,1.0,1.0,1.0,1.0,1.0,1.0,9.779,10.627,10.237,11.24,17.704,16.611,33.707,-9999,-9999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-9999,-9999,5.88509,1.0,71.1477,1.0,72.1564,65.6696,83.4535,6.09095,64.6968,1.0,65.614,59.7154,75.8869,6.88432,0.546653,0.895833,0.255296,0.523442,0.538776,0.570569,0.895833,0.895833,0.895833,9.08569,9.05446,9.09988,9.42985,8.5707,8.53368,8.58359,8.88249,9.25709,9.08552,9.23377,9.27501,7.89318,7.83699,7.88581,7.94001,-9999,-9999
20190805,23.921,1.0,441.809,312.081,1.0,326.383,1.0,22.402,1.0,85.773,1.0,0.0,1.0,2.174,1.0,0.28436777083333337,1.0,177.80566041666665,1.0,639.3063479166667,1.0,141.70094583333335,1.0,31.33594375,1.0,429.31541666666664,1.0,387.791,1.0,20.961,19.669,18.47,17.331,15.515,12.824,1.0,1.0,1.0,1.0,1.0,1.0,9.719,10.508,10.165,11.137,17.495,16.426,33.63,-9999,-9999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-9999,-9999,6.36961,1.0,71.3059,1.0,72.3169,65.8156,83.6391,5.70905,69.3623,1.0,70.3458,64.0217,81.3594,6.55301,0.419664,0.9375,0.258697,0.331241,0.419664,0.492022,0.9375,0.9375,0.916667,9.60469,9.5605,9.62696,10.1626,9.23483,9.20518,9.29541,9.68285,9.90736,9.64948,9.86463,9.91093,8.35927,8.19016,8.32565,8.37824,-9999,-9999
20190806,23.941,1.0,439.823,285.395,1.0,335.021,1.0,20.217,1.0,85.584,1.0,0.0,1.0,2.8,1.0,0.4401167291666666,1.0,158.1233125,1.0,581.368,1.0,223.62710833333335,1.0,29.781229166666662,1.0,432.51666666666665,1.0,387.056,1.0,21.662,20.231,18.846,17.565,15.636,12.867,1.0,1.0,1.0,1.0,1.0,1.0,9.676,10.398,10.104,11.044,17.302,16.248,33.559,-9999,-9999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-9999,-9999,7.25497,1.0,67.0938,1.0,68.0451,61.9279,78.6985,5.59745,53.6942,1.0,54.4555,49.56,62.9813,5.95462,0.889892,0.9375,0.242713,0.86436,0.901863,1.20063,0.9375,0.9375,0.854167,9.74152,9.68767,9.76539,10.3286,8.90503,8.81557,8.90071,9.10878,10.2304,9.68327,10.1161,10.3165,8.27034,7.94031,8.22669,8.27568,-9999,-9999
20190807,23.944,1.0,437.801,306.888,1.0,334.987,1.0,19.591,1.0,85.455,1.0,0.0,1.0,2.588,1.0,0.4372224375,1.0,178.8441875,1.0,633.83355625,1.0,168.75943541666666,1.0,31.35321666666667,1.0,431.6814583333333,1.0,384.87,1.0,22.059,20.704,19.333,17.981,15.885,12.986,1.0,1.0,1.0,1.0,1.0,1.0,9.641,10.321,10.053,10.969,17.129,16.09,33.488,-9999,-9999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-9999,-9999,7.01033,1.0,80.0049,1.0,81.1392,73.8448,93.8427,5.8535,89.4267,1.0,90.6946,82.5412,104.894,6.60366,0.707633,0.979167,0.24553,0.700336,0.708287,0.839758,0.979167,0.979167,0.958333,9.87246,9.81501,9.8979,10.498,9.22177,9.11015,9.18927,9.67435,10.5423,10.0796,10.5423,10.6441,8.51017,8.28675,8.47915,8.51017,-9999,-9999
20190808,19.707,1.0,435.744,249.762,1.0,330.555,1.0,12.006,1.0,85.411,1.0,0.0,1.0,2.931,1.0,0.5066547499999999,1.0,143.552625,1.0,505.45841666666666,1.0,149.32285625,1.0,24.057953541666667,1.0,412.7333333333333,1.0,380.434,1.0,21.368,20.315,19.224,18.086,16.066,13.081,1.0,1.0,1.0,1.0,1.0,1.0,9.586,10.338,10.003,10.905,16.975,15.95,33.424,-9999,-9999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-9999,-9999,5.51124,1.0,68.5204,1.0,69.4919,63.2446,80.3718,5.18728,81.0363,1.0,82.1852,74.7968,95.0525,6.26175,1.62823,0.895833,0.264777,1.48079,1.61348,1.66379,0.875,0.895833,0.895833,9.1767,9.14688,9.18983,9.52651,7.5778,7.52146,7.67708,7.8384,10.3444,10.1224,10.2516,10.3445,7.6139,7.566,7.61345,7.69058,-9999,-9999
20190809,15.878,1.0,433.654,219.717,1.0,323.435,1.0,7.37,1.0,85.501,0.958333,7.112,1.0,2.536,1.0,0.42969470833333334,1.0,131.11413124999999,1.0,446.1691604166667,1.0,217.19959166666663,1.0,21.30136875,1.0,390.73312500000003,1.0,381.603,1.0,18.749,18.46,18.096,17.538,15.968,13.063,1.0,1.0,1.0,1.0,1.0,1.0,9.575,10.577,9.945,10.855,16.867,15.856,33.376,-9999,-9999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-9999,-9999,2.18194,1.0,61.3841,1.0,62.2544,54.9559,72.0012,4.98272,32.0747,1.0,32.5295,28.7158,37.6224,6.57663,2.74371,0.854167,0.283561,2.72127,2.75109,2.79738,0.854167,0.854167,0.875,8.51456,8.44965,8.51586,8.54453,5.77564,5.73501,5.77564,5.7983,9.65022,9.25086,9.484,9.65489,6.69046,6.63206,6.69139,6.76048,-9999,-9999
20190810,13.43,1.0,431.529,232.343,1.0,317.481,1.0,5.609,1.0,85.55,1.0,0.762,1.0,2.93,1.0,0.5182522916666666,1.0,150.25035416666665,1.0,479.3166666666666,1.0,201.789675,1.0,22.531895833333333,1.0,377.05,1.0,382.893,1.0,16.267,16.489,16.634,16.569,15.65,13.156,1.0,1.0,1.0,1.0,1.0,1.0,10.08,10.965,9.874,10.791,16.796,15.797,33.326,-9999,-9999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-9999,-9999,0.051294,1.0,84.0661,1.0,85.258,75.1742,98.6063,5.37537,67.9123,1.0,68.8752,60.729,79.6585,6.26472,0.863164,0.895833,0.285287,0.675608,0.846,0.863164,0.979167,0.895833,0.895833,8.06451,7.82428,7.94432,8.06451,7.18984,6.98898,7.18984,7.35708,8.64633,7.87953,8.5892,8.65318,3.82068,3.79598,3.82088,3.84231,-9999,-9999
