TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_DIF,PPFD_DIF_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_4,TS_F_MDS_5,TS_F_MDS_6,TS_F_MDS_7,TS_F_MDS_8,TS_F_MDS_9,TS_F_MDS_10,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,TS_F_MDS_4_QC,TS_F_MDS_5_QC,TS_F_MDS_6_QC,TS_F_MDS_7_QC,TS_F_MDS_8_QC,TS_F_MDS_9_QC,TS_F_MDS_10_QC,SWC_F_MDS_1,SWC_F_MDS_2,SWC_F_MDS_3,SWC_F_MDS_4,SWC_F_MDS_5,SWC_F_MDS_6,SWC_F_MDS_7,SWC_F_MDS_8,SWC_F_MDS_9,SWC_F_MDS_10,SWC_F_MDS_1_QC,SWC_F_MDS_2_QC,SWC_F_MDS_3_QC,SWC_F_MDS_4_QC,SWC_F_MDS_5_QC,SWC_F_MDS_6_QC,SWC_F_MDS_7_QC,SWC_F_MDS_8_QC,SWC_F_MDS_9_QC,SWC_F_MDS_10_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_CORR_25,LE_CORR_75,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_CORR_25,H_CORR_75,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
20190801,20.073,1,447.648,326.218,1,330.555,1,10.097,1,99.39,1,0,1,1.713,1,0.1959791458333333,1,193.05879166666668,1,642.1111993854166,1,200.67409572083332,1,52.11761875,1,410.6870833333333,1,392.278,1,17.092,17.456,17.382,16.852,16.175,15.432,12.213,10.001,12.213,10.001,1,1,1,1,1,1,1,1,1,1,5.572,9.445,10.182,8.9,6.867,6.231,4.207,5.724,4.207,5.724,1,1,1,1,1,1,1,1,1,1,-9999,-9999,128.088,-9999,-9999,-9999,-9999,7.68749,38.8954,-9999,-9999,-9999,-9999,4.73503,-5.51486,0.875,0.490097,-5.58739,-5.44435,-5.2684,0.875,0.895833,0.729167,7.48105,5.99674,7.39658,7.48576,13.0061,11.5694,12.7399,13.0771,7.84349,7.83056,8.67029,9.32815,12.0858,11.9572,12.6694,12.9266,-9999,-9999
20190802,21.551,1,445.734,303.65,1,353.982,1,11.906,1,99.182,1,0,1,2.938,1,0.3652009166666667,1,188.76106249999998,1,607.3173645,1,228.6845401,1,48.474701874999994,1,419.681875,1,390.789,1,17.587,17.822,17.621,16.886,16.047,15.328,12.262,10.061,12.262,10.061,1,1,1,1,1,1,1,1,1,1,5.132,8.438,9.446,8.393,6.821,6.167,4.154,5.652,4.154,5.652,1,1,1,1,1,1,1,1,1,1,-9999,-9999,120.018,-9999,-9999,-9999,-9999,8.26685,24.8486,-9999,-9999,-9999,-9999,3.7243,-4.61916,0.979167,0.544574,-4.6393,-4.26284,-4.20367,0.916667,0.979167,1,7.14445,6.02971,6.99167,7.14369,11.4073,10.8181,11.34,11.6653,6.31147,6.19595,7.14334,8.15301,10.2028,10.1435,10.611,11.2331,-9999,-9999
20190803,22.171,1,443.782,279.234,1,371.464,1,7.481,1,98.905,1,0,1,2.716,1,0.3335462708333334,1,178.78783125000004,1,564.6379870770834,1,243.50259879583334,1,44.39712333333333,1,426.7910416666667,1,391.38,1,18.478,18.53,18.184,17.172,16.064,15.196,12.289,10.108,12.289,10.108,1,1,1,1,1,1,1,1,1,1,4.821,7.163,8.761,7.934,6.765,6.103,4.161,5.519,4.161,5.519,1,1,1,1,1,1,1,1,1,1,-9999,-9999,95.1627,-9999,-9999,-9999,-9999,6.33817,42.9434,-9999,-9999,-9999,-9999,4.21868,-4.12151,0.9375,0.443864,-4.52258,-4.09938,-3.95064,0.75,0.875,0.875,6.64671,6.01225,6.51288,6.64671,10.6867,10.4464,10.6479,11.4527,4.13055,4.07501,4.7566,6.58915,8.39097,8.39097,8.82161,10.1221,-9999,-9999
20190804,20.529,1,441.793,282.869,1,355.778,1,6.788,1,98.868,1,0,1,2.594,1,0.2864803541666667,1,175.8729079166667,1,561.3135234,1,233.33875400000002,1,45.55526770833333,1,416.50666666666666,1,398.597,1,18.518,18.803,18.518,17.505,16.17,15.201,12.343,10.201,12.343,10.201,1,1,1,1,1,1,1,1,1,1,4.616,6.28,8.219,7.602,6.576,5.86,4.215,5.475,4.215,5.475,1,1,1,1,1,1,1,1,1,1,-9999,-9999,80.1827,-9999,-9999,-9999,-9999,5.7122,50.8224,-9999,-9999,-9999,-9999,3.82093,-4.37992,0.979167,0.428396,-4.60731,-4.15503,-3.90361,0.6875,0.833333,0.979167,5.84046,5.6899,5.84041,5.88093,9.74408,9.68571,9.88006,10.8085,1.48922,1.45528,2.03618,4.15027,7.14061,7.0847,7.53733,8.99328,-9999,-9999
20190805,21.249,1,439.767,268.04,1,378.627,1,6.328,1,98.32,1,0.7,1,3.506,1,0.49379899999999993,1,181.9079563,1,542.0230047291667,1,273.10744631458334,1,42.17753625,1,422.07312500000006,1,392.365,1,18.765,18.845,18.543,17.547,16.249,15.317,12.355,10.269,12.355,10.269,1,1,1,1,1,1,1,1,1,1,4.442,6.329,7.646,7.165,6.553,5.729,4.231,5.389,4.231,5.389,1,1,1,1,1,1,1,1,1,1,-9999,-9999,80.24,-9999,-9999,-9999,-9999,6.17329,19.8208,-9999,-9999,-9999,-9999,4.25,-4.97155,0.979167,0.451237,-5.00586,-4.83899,-4.57812,0.979167,0.75,0.895833,5.34428,5.33964,5.53453,5.85989,10.1801,10.0808,10.1915,10.9349,1.24144,1.24144,1.63989,3.03028,6.63253,6.63253,6.89116,7.91682,-9999,-9999
20190806,20.81,1,437.705,294.226,1,362.912,1,6.838,1,97.993,1,0,1,2.643,1,0.367207813,1,190.4223604166667,1,584.4309847708333,1,215.02991327708332,1,45.88874437499999,1,420.0977083333334,1,395.915,1,19.161,19.229,18.909,17.789,16.36,15.389,12.363,10.303,12.363,10.303,1,1,1,1,1,1,1,1,1,1,4.291,6.45,7.236,6.849,6.454,5.643,4.486,5.349,4.486,5.349,1,1,1,1,1,1,1,1,1,1,-9999,-9999,97.6138,-9999,-9999,-9999,-9999,7.38744,59.383,-9999,-9999,-9999,-9999,4.39344,-4.26041,0.979167,0.41942,-4.81048,-4.27707,-4.06113,0.8125,0.979167,0.979167,4.73225,4.73141,4.95572,5.65636,8.79338,8.71688,9.20421,10.5955,2.59785,1.74235,2.46687,2.92648,8.17281,7.83857,8.04602,8.27795,-9999,-9999
20190807,21.458,1,435.606,288.496,1,381.697,1,9.061,1,97.922,1,0.6,1,3.102,1,0.4280169166666667,1,200.8250375,1,576.7139455,1,198.4540021,1,44.86944270833334,1,424.0116666666666,1,396.841,1,18.933,19.056,18.772,17.786,16.445,15.399,12.451,10.377,12.451,10.377,1,1,1,1,1,1,1,1,1,1,4.131,6.874,6.779,6.52,6.297,5.52,4.494,5.276,4.494,5.276,1,1,1,1,1,1,1,1,1,1,-9999,-9999,99.7281,-9999,-9999,-9999,-9999,7.25738,25.8538,-9999,-9999,-9999,-9999,4.61214,-3.63091,0.979167,0.446404,-3.79436,-3.55983,-3.4696,0.9375,0.791667,0.979167,4.75182,4.83708,5.17165,5.66989,8.22143,8.33821,8.58869,9.35818,3.75019,2.14417,3.53163,3.75019,7.9004,6.94309,7.70905,7.87522,-9999,-9999
20190808,19.411,1,433.472,277.382,1,361.994,1,7.228,1,97.842,1,3.8,1,4.007,1,0.5234002916666666,1,182.4151125,1,540.6277256958333,1,232.3889791,1,44.94716354166667,1,411.52270833333336,1,396.258,1,18.826,19.16,18.963,17.948,16.521,15.416,12.499,10.423,12.499,10.423,1,1,1,1,1,1,1,1,1,1,4.855,6.141,6.55,6.295,6.3,5.396,4.606,5.284,4.606,5.284,1,1,1,1,1,1,1,1,1,1,-9999,-9999,107.129,-9999,-9999,-9999,-9999,6.65602,42.6481,-9999,-9999,-9999,-9999,4.66724,-4.66845,0.979167,0.391202,-4.91241,-4.69163,-4.61667,0.833333,0.666667,1,4.89295,4.90021,5.12759,5.50842,9.52022,9.57812,9.69398,10.3064,3.59533,3.28416,3.53178,3.66514,8.43739,8.15667,8.30923,8.42656,-9999,-9999
20190809,18.393,1,431.303,304.305,1,330.121,1,8.062,1,98.272,1,0,1,4.821,1,0.5967281249999999,1,177.70180416666668,1,591.2816121,1,193.7009185,1,51.18439166666667,1,404.66916666666674,1,396.033,1,17.543,18.074,18.144,17.55,16.503,15.486,12.523,10.449,12.523,10.449,1,1,1,1,1,1,1,1,1,1,4.483,6.076,6.356,6.224,6.233,5.393,4.521,5.209,4.521,5.209,1,1,1,1,1,1,1,1,1,1,-9999,-9999,93.3051,-9999,-9999,-9999,-9999,6.03632,43.6886,-9999,-9999,-9999,-9999,4.9966,-4.22792,0.958333,0.413862,-5.2211,-4.86982,-4.5143,0.520833,0.583333,1,5.14117,5.04812,5.18188,5.51409,9.66453,9.60842,9.76066,10.5175,4.12349,4.10252,4.23615,4.55779,9.63794,9.50975,9.61205,9.6973,-9999,-9999
20190810,19.37,1,429.099,287.991,1,335.579,1,8.94,1,98.651,1,0,1,3.681,1,0.3707023333333333,1,166.48572916666666,1,569.1697467,1,184.46418461041665,1,47.5478125,1,408.61270833333333,1,396.397,1,17.275,17.623,17.644,17.112,16.326,15.454,12.547,10.536,12.547,10.536,1,1,1,1,1,1,1,1,1,1,4.216,6.459,6.166,6.339,6.095,5.35,4.642,5.33,4.642,5.33,1,1,1,1,1,1,1,1,1,1,-9999,-9999,95.0201,-9999,-9999,-9999,-9999,6.08621,37.5356,-9999,-9999,-9999,-9999,4.45903,-3.54884,0.979167,0.417668,-5.07886,-4.11441,-3.67651,0.5625,0.75,0.979167,5.63241,5.29822,5.52278,5.66459,9.31326,9.16202,9.33656,10.495,5.74744,5.74202,5.96194,6.23077,9.78844,9.779,9.86245,9.98152,-9999,-9999
